cycle,branch,model,modeldate,candidate_inc,candidate_chal,nat_voteshare_other_hi,national_voteshare_inc_lo,national_voteshare_chal_lo,national_voteshare_3rd_lo,nat_voteshare_other_lo,national_turnout,national_turnout_hi,national_turnout_lo,timestamp,simulations
2020,President,polls-plus,11/03/2020,Trump,Biden,1.842986,42.91262,50.87952,,0.7244333,157972048,168424640,147487920,03/11/2020 00:00,40000
2020,President,polls-plus,11/02/2020,Trump,Biden,1.842986,42.91348,50.88025,,0.7244333,157972048,168424640,147487920,02/11/2020 23:45,40000
2020,President,polls-plus,11/02/2020,Trump,Biden,1.842986,42.91348,50.88025,,0.7244333,157972048,168424640,147487920,02/11/2020 23:45,40000
2020,President,polls-plus,10/31/2020,Trump,Biden,1.835479,42.98096,50.74764,,0.6898021,158044784,168497376,147560672,31/10/2020 22:23,40000
2020,President,polls-plus,10/30/2020,Trump,Biden,1.847821,42.9251,50.72821,,0.6928369,156723120,167175712,146239008,30/10/2020 21:34,40000
2020,President,polls-plus,10/29/2020,Trump,Biden,1.866135,42.81808,50.72867,,0.7026303,1.54E+08,1.64E+08,1.43E+08,29/10/2020 22:17,40000
2020,President,polls-plus,10/28/2020,Trump,Biden,1.872111,42.83503,50.62366,,0.701452,1.54E+08,1.64E+08,1.43E+08,28/10/2020 21:36,40000
2020,President,polls-plus,10/27/2020,Trump,Biden,1.874326,42.74829,50.61196,,0.6969134,1.54E+08,1.64E+08,1.43E+08,27/10/2020 21:01,40000
2020,President,polls-plus,10/26/2020, ,Biden,1.880471,42.69503,50.58232,,0.6969583,1.54E+08,1.64E+08,1.43E+08,26/10/2020 20:38,40000
2020,President,polls-plus,10/25/2020,Trump,Biden,1.884866,42.63616,50.54306,,0.6952916,1.54E+08,1.64E+08,1.43E+08,25/10/2020 20:47,40000
2020,President,polls-plus,10/24/2020,Trump,Biden,1.891269,42.60899,50.48753,,0.6963422,1.54E+08,1.64E+08,1.43E+08,24/10/2020 22:24,40000
2020,President,polls-plus,10/23/2020,Trump,Biden,1.897257,42.49039,50.54681,,0.6978626,1.54E+08,1.64E+08,1.43E+08,23/10/2020 22:19,40000
2020,President,polls-plus,10/22/2020,Trump,Biden,1.902303,42.41592,50.5427,,0.69797,1.54E+08,1.64E+08,1.43E+08,22/10/2020 19:00,40000
2020,President,polls-plus,10/21/2020,Trump,Biden,1.9002,42.39642,50.50368,,0.6919706,1.46E+08,1.56E+08,1.36E+08,21/10/2020 20:34,40000
2020,President,polls-plus,10/20/2020,Trump,Biden,1.902716,42.30985,50.49361,,0.6899054,1.43E+08,1.53E+08,1.33E+08,20/10/2020 21:36,40000
2020,President,polls-plus,10/19/2020,Trump,Biden,1.900372,42.18653,50.55529,,0.6836989,1.43E+08,1.53E+08,1.33E+08,19/10/2020 21:55,40000
2020,President,polls-plus,10/18/2020,Trump,Biden,1.899508,42.14919,50.52079,,0.6792043,1.43E+08,1.53E+08,1.33E+08,18/10/2020 21:11,40000
2020,President,polls-plus,10/17/2020,Trump,Biden,1.903847,42.1105,50.48,,0.6796591,1.43E+08,1.53E+08,1.33E+08,17/10/2020 19:17,40000
2020,President,polls-plus,10/16/2020,Trump,Biden,1.907859,42.12756,50.40108,,0.6802757,1.43E+08,1.53E+08,1.33E+08,16/10/2020 21:08,40000
2020,President,polls-plus,10/15/2020, ,Biden,1.905437,42.1101,50.37309,,0.6751865,1.43E+08,1.53E+08,1.33E+08,15/10/2020 20:38,40000
2020,President,polls-plus,10/14/2020,Trump,Biden,1.914557,42.11092,50.28674,,0.6802051,1.43E+08,1.53E+08,1.33E+08,14/10/2020 21:42,40000
2020,President,polls-plus,10/13/2020,Trump,Biden,1.911543,42.04291,50.29504,,0.6740981,1.41E+08,1.51E+08,1.31E+08,13/10/2020 23:16,40000
2020,President,polls-plus,10/12/2020,Trump,Biden,1.915702,42.05617,50.20482,,0.6747431,1.41E+08,1.51E+08,1.31E+08,12/10/2020 21:07,40000
2020,President,polls-plus,10/11/2020,Trump,Biden,1.918076,42.02129,50.17009,,0.6737469,1.41E+08,1.51E+08,1.31E+08,11/10/2020 19:00,40000
2020,President,polls-plus,10/10/2020,Trump,Biden,1.924986,42.04492,50.07838,,0.6773756,1.41E+08,1.51E+08,1.31E+08,10/10/2020 19:00,40000
