T22,Land,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Land area (thousand hectares),12997688.2800,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Arable land (thousand hectares),1356869.4800,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Permanent crops (thousand hectares),145680.5500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Forest cover (thousand hectares),4032742.6860,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Arable land (% of total land area),10.4393,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Permanent crops (% of total land area),1.1208,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Forest cover (% of total land area),31.0266,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.2153,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2010,Land area (thousand hectares),12995614.9900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Arable land (thousand hectares),1347680.8900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Permanent crops (thousand hectares),158259.1800,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Forest cover (thousand hectares),4015672.9630,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Arable land (% of total land area),10.3703,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Permanent crops (% of total land area),1.2178,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Forest cover (% of total land area),30.9002,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8525,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2017,Land area (thousand hectares),13002855.2080,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Arable land (thousand hectares),1390698.8055,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Permanent crops (thousand hectares),167877.4475,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Forest cover (thousand hectares),3999133.6220,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Arable land (% of total land area),10.6953,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Permanent crops (% of total land area),1.2911,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Forest cover (% of total land area),30.7558,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
1,"Total, all countries or areas",2017,Important sites for terrestrial biodiversity protected (% of total sites protected),43.5335,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
1,"Total, all countries or areas",2019,Important sites for terrestrial biodiversity protected (% of total sites protected),43.7193,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
2,Africa,2005,Land area (thousand hectares),2964822.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Arable land (thousand hectares),215650.9200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Permanent crops (thousand hectares),30853.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Forest cover (thousand hectares),654678.9040,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Arable land (% of total land area),7.2737,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Permanent crops (% of total land area),1.0407,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2005,Forest cover (% of total land area),22.0816,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Land area (thousand hectares),2964893.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Arable land (thousand hectares),225758.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Permanent crops (thousand hectares),33511.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Forest cover (thousand hectares),638282.1580,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
2,Africa,2010,Arable land (% of total land area),7.6144,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
