T21,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1990,Primary energy production (petajoules),361763.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1995,Primary energy production (petajoules),381604.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2000,Primary energy production (petajoules),412860.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2005,Primary energy production (petajoules),477404.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2010,Primary energy production (petajoules),530934.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2015,Primary energy production (petajoules),570508.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2016,Primary energy production (petajoules),570167.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2017,Primary energy production (petajoules),581665.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1990,Net imports [Imports - Exports - Bunkers] (petajoules),-8317.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),-8718.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),-10452.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),-13321.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),-12898.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),-17407.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2016,Net imports [Imports - Exports - Bunkers] (petajoules),-21798.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
1,"Total, all countries or areas",2017,Net imports [Imports - Exports - Bunkers] (petajoules),-20029.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
