T23,Threatened species,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2004,Threatened Species: Vertebrates (number),31.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2010,Threatened Species: Vertebrates (number),31.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2016,Threatened Species: Vertebrates (number),35.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2017,Threatened Species: Vertebrates (number),35.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2018,Threatened Species: Vertebrates (number),34.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2019,Threatened Species: Vertebrates (number),33.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2020,Threatened Species: Vertebrates (number),33.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2004,Threatened Species: Invertebrates (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2010,Threatened Species: Invertebrates (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2016,Threatened Species: Invertebrates (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2017,Threatened Species: Invertebrates (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2018,Threatened Species: Invertebrates (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2019,Threatened Species: Invertebrates (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2020,Threatened Species: Invertebrates (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2004,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2010,Threatened Species: Plants (number),2.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2016,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2017,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2018,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2019,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2020,Threatened Species: Plants (number),5.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2004,Threatened Species: Total (number),33.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2010,Threatened Species: Total (number),34.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2016,Threatened Species: Total (number),42.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2017,Threatened Species: Total (number),42.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2018,Threatened Species: Total (number),41.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2019,Threatened Species: Total (number),40.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
4,Afghanistan,2020,Threatened Species: Total (number),40.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
248,Åland Islands,2020,Threatened Species: Vertebrates (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
248,Åland Islands,2020,Threatened Species: Invertebrates (number),0.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
248,Åland Islands,2020,Threatened Species: Plants (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
248,Åland Islands,2020,Threatened Species: Total (number),1.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2004,Threatened Species: Vertebrates (number),33.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2010,Threatened Species: Vertebrates (number),53.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2016,Threatened Species: Vertebrates (number),63.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2017,Threatened Species: Vertebrates (number),62.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2018,Threatened Species: Vertebrates (number),62.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2019,Threatened Species: Vertebrates (number),61.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2020,Threatened Species: Vertebrates (number),64.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2004,Threatened Species: Invertebrates (number),4.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2010,Threatened Species: Invertebrates (number),47.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2016,Threatened Species: Invertebrates (number),62.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2017,Threatened Species: Invertebrates (number),68.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2018,Threatened Species: Invertebrates (number),71.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2019,Threatened Species: Invertebrates (number),71.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
8,Albania,2020,Threatened Species: Invertebrates (number),73.0000,,"World Conservation Union (IUCN), Gland and Cambridge, IUCN Red List of Threatened Species publication, last accessed June 2020."
